Source,Target,Type
Araap_Ruto,@williamsruto,Mention
MakokhaDr,@williamsruto,Mention
Upendo_Andrew,@williamsruto,Mention
TheHamara,@williamsruto,Mention
gcmm86,@williamsruto,Mention
mosebu,@williamsruto,Mention
jkenyakwanza,@williamsruto,Mention
Hon_ChaguaRuto,@williamsruto,Mention
el_chaplinn,@williamsruto,Mention
fessy_jay,@williamsruto,Mention
langatvic8,@williamsruto,Mention
futurelegacy2,@williamsruto,Mention
Chiskop_peetz,@williamsruto,Mention
thuoevans,@williamsruto,Mention
Kelvinmwendwa_,@williamsruto,Mention
JKNjenga,@williamsruto,Mention
Collins_Oxlade,@williamsruto,Mention
Patopatoh,@williamsruto,Mention
Edwardkertz,@williamsruto,Mention
MweleWycliffe,@williamsruto,Mention
MurerwaEdwin,@williamsruto,Mention
DongThuthi,@williamsruto,Mention
Kastone_Paul,@williamsruto,Mention
JUNGLELAW12,@williamsruto,Mention
IKenmax,@williamsruto,Mention
ratemo_perminus,@williamsruto,Mention
Real_Cheruiyot,@williamsruto,Mention
aj_njuguna,@williamsruto,Mention
muhyy,@williamsruto,Mention
iamWekesa,@williamsruto,Mention
ErickMureka,@williamsruto,Mention
john_andeka,@williamsruto,Mention
Theichief,@williamsruto,Mention
TheBryo,@williamsruto,Mention
Mwikiah,@williamsruto,Mention
Ondieki_001,@williamsruto,Mention
KiruiMartin,@williamsruto,Mention
HusseinMohamedg,@williamsruto,Mention
tylerkym254,@williamsruto,Mention
kimutaiken_,@williamsruto,Mention
Ronoh_1J,@williamsruto,Mention
wesrono,@williamsruto,Mention
Jay__Don_ke,@williamsruto,Mention
ErastoMwenyewe,@williamsruto,Mention
peterph_gichuhi,@williamsruto,Mention
TrueCityzen1,@williamsruto,Mention
HARRYGENIUS_,@williamsruto,Mention
MashMMXIV,@williamsruto,Mention
Ericmwa,@williamsruto,Mention
ruttohcarol,@williamsruto,Mention
lookeeymoha,@williamsruto,Mention
Sammys2541,@williamsruto,Mention
MastonKim1,@williamsruto,Mention
DansonKimutai,@williamsruto,Mention
EmmanuelKwemoi1,@williamsruto,Mention
Sucresaid,@williamsruto,Mention
Karuoyya,@williamsruto,Mention
DouglasChiliswa,@williamsruto,Mention
KELVINWAFULAMA1,@williamsruto,Mention
Carlyet6,@williamsruto,Mention
rhouzieosore,@williamsruto,Mention
kemboikips04,@williamsruto,Mention
tess_njoroge,@williamsruto,Mention
Iyewitnes,@williamsruto,Mention
hustlermilan,@williamsruto,Mention
amohprovoke,@williamsruto,Mention
AlexMugendi11,@williamsruto,Mention
CharlesKimuyu,@williamsruto,Mention
EPLNewsSoccer,@williamsruto,Mention
kirweco14,@williamsruto,Mention
Gichovi_e,@williamsruto,Mention
Nyawira2005,@williamsruto,Mention
Musinga23169686,@williamsruto,Mention
LXG_News,@williamsruto,Mention
manucho__ke,@williamsruto,Mention
MikeMusungu1,@williamsruto,Mention
comradefyat,@williamsruto,Mention
g_kimeli,@williamsruto,Mention
C_chengke,@williamsruto,Mention
FranklinKipyeg1,@williamsruto,Mention
MwaurahDrax,@williamsruto,Mention
ckositany,@williamsruto,Mention
joe_clinch,@williamsruto,Mention
AKimorgo,@williamsruto,Mention
DrRotichPHD,@williamsruto,Mention
Elizabe40374232,@williamsruto,Mention
sospetermkaimba,@williamsruto,Mention
NtongaiEzekiel,@williamsruto,Mention
MlinziVinnie,@williamsruto,Mention
TonyKingv20,@williamsruto,Mention
FaithfulnessJSA,@williamsruto,Mention
mulinguum,@williamsruto,Mention
DesmondTowett,@williamsruto,Mention
sammy_macharia,@williamsruto,Mention
caleb_gachugu,@williamsruto,Mention
ObedMelly,@williamsruto,Mention
GunnerAfrican,@williamsruto,Mention
Mwash_phalic,@williamsruto,Mention
Mr_JoeWaru,@williamsruto,Mention
Mwax021,@williamsruto,Mention
mistah_morriz,@williamsruto,Mention
NdichuMburu,@williamsruto,Mention
JaphethArsenal,@williamsruto,Mention
Vinncott3,@williamsruto,Mention
k_yovinne,@williamsruto,Mention
mau_maxwel,@williamsruto,Mention
labattlabatt,@williamsruto,Mention
Pk53534395,@williamsruto,Mention
_jmcaleb,@williamsruto,Mention
Dr_kimutal,@williamsruto,Mention
arapweriEzra,@williamsruto,Mention
Paulmwaniki16,@williamsruto,Mention
WairimuAntony,@williamsruto,Mention
KipKalyaNoah,@williamsruto,Mention
tumeiyo_richard,@williamsruto,Mention
PatoskyKp,@williamsruto,Mention
ErickkChirchir2,@williamsruto,Mention
wamahousee,@williamsruto,Mention
kenedyshy,@williamsruto,Mention
karryjay,@williamsruto,Mention
Duncanm2017,@williamsruto,Mention
GideonBadiva,@williamsruto,Mention
bravin_siwa,@williamsruto,Mention
benardongeri_,@williamsruto,Mention
Kibet_AraapKogo,@williamsruto,Mention
NgeiywoMartin,@williamsruto,Mention
CeoBen,@williamsruto,Mention
EricNgeno,@williamsruto,Mention
DenfelixK,@williamsruto,Mention
PHIAMAX,@williamsruto,Mention
EKipkeu,@williamsruto,Mention
MeshMpendwa,@williamsruto,Mention
flairampos,@williamsruto,Mention
ChamdanyKip,@williamsruto,Mention
manyongeisaac1,@williamsruto,Mention
Jeffhendriksgit,@williamsruto,Mention
shaddykym,@williamsruto,Mention
IMIrungu,@williamsruto,Mention
sarahmurathime,@williamsruto,Mention
Frank_KanaTech,@williamsruto,Mention
kelvin_mwebia,@williamsruto,Mention
Joe_munene1,@williamsruto,Mention
mw_enda,@williamsruto,Mention
Brianketer5,@williamsruto,Mention
karonei,@williamsruto,Mention
MrBiwott,@williamsruto,Mention
korirek,@williamsruto,Mention
JosephTulanga,@williamsruto,Mention
MOTARI25,@williamsruto,Mention
CyrusRintari,@williamsruto,Mention
GLitunya,@williamsruto,Mention
JayReagans,@williamsruto,Mention
KingKwemoi,@williamsruto,Mention
HalfLuo_,@williamsruto,Mention
umosoo,@williamsruto,Mention
Waigwabon,@williamsruto,Mention
EliasKabere,@williamsruto,Mention
Dequinto9,@williamsruto,Mention
BasilManaseh,@williamsruto,Mention
TwahirMwale,@williamsruto,Mention
ondu_peter,@williamsruto,Mention
KipngenoGabriel,@williamsruto,Mention
NeddoTatayo,@williamsruto,Mention
JumaFrred,@williamsruto,Mention
Beatric06754363,@williamsruto,Mention
awanyoike3,@williamsruto,Mention
MwendeCharles,@williamsruto,Mention
EvansChege,@williamsruto,Mention
AdanDuqow,@williamsruto,Mention
beth_kasinga,@williamsruto,Mention
issa_grei,@williamsruto,Mention
eric_opanda,@williamsruto,Mention
daltoo_eye,@williamsruto,Mention
Amb_Saleh,@williamsruto,Mention
abedlelgo,@williamsruto,Mention
McaMwongaJnr,@williamsruto,Mention
KariukiCyruz,@williamsruto,Mention
client13144,@williamsruto,Mention
OtungahB,@williamsruto,Mention
john_nderitu,@williamsruto,Mention
Keerulanah,@williamsruto,Mention
KeMatumbei,@williamsruto,Mention
TravisNgich,@williamsruto,Mention
schelanga94,@williamsruto,Mention
Utred_Allan,@williamsruto,Mention
Lemenyi_KE,@williamsruto,Mention
UDAparty2022,@williamsruto,Mention
manesah_,@williamsruto,Mention
JohnWil50304360,@williamsruto,Mention
pkarnet,@williamsruto,Mention
OtengoWelling1,@williamsruto,Mention
wiz_freak,@williamsruto,Mention
OleItumbi,@williamsruto,Mention
josphatmutai43,@williamsruto,Mention
josphatmutai43,@railaodinga,Mention
DaddyMsoo,@evans_miloo,Mention
Ojwang44,@williamsruto,Mention
Ojwang44,@railaodinga,Mention
edmosesking,@williamsruto,Mention
MakimiiDom,@williamsruto,Mention
Kapengurian,@williamsruto,Mention
muthaara,@williamsruto,Mention
muthaara,@railaodinga,Mention
FelipeGambler_,@mwalimu_amunga,Mention
FelipeGambler_,@sakajajohnson,Mention
Japhetkmaina,@mwalimu_amunga,Mention
Japhetkmaina,@sakajajohnson,Mention
gideonokumu81,@mwalimu_amunga,Mention
gideonokumu81,@sakajajohnson,Mention
Frank_KanaTech,@mwalimu_amunga,Mention
Frank_KanaTech,@sakajajohnson,Mention
MWALIMU_AMUNGA,@mwalimu_amunga,Mention
David___Mbugua,@mwalimu_amunga,Mention
David___Mbugua,@sakajajohnson,Mention
SakajaJohnson,@mwalimu_amunga,Mention
SakajaJohnson,@sakajajohnson,Mention
EWitness,@mwalimu_amunga,Mention
SHINYALU_Online,@musaliamudavadi,Mention
SHINYALU_Online,@williamsruto,Mention
SHINYALU_Online,@sakajajohnson,Mention
SHINYALU_Online,@mwalimu_amunga,Mention
RutoSara,@musaliamudavadi,Mention
RutoSara,@williamsruto,Mention
RutoSara,@sakajajohnson,Mention
WomenInANCParty,@musaliamudavadi,Mention
WomenInANCParty,@williamsruto,Mention
WomenInANCParty,@sakajajohnson,Mention
WomenInANCParty,@mwalimu_amunga,Mention
umosoo,@railaodinga,Mention
hustlermilan,@railaodinga,Mention
hustlermilan,@,Mention
m_langat70,@,Mention
m_langat70,@williamsruto,Mention
jacobskilonzo,@kenyakwanza,Mention
jacobskilonzo,@udakenya,Mention
AustohMwenyewe,@williamsruto,Mention
AustohMwenyewe,@railaodinga,Mention
Its_____Anne,@crystalbeautypl,Mention
Fredmoenga1998,@williamsruto,Mention
Fredmoenga1998,@railaodinga,Mention
Fredmoenga1998,@kbonimtetezi,Mention
Fredmoenga1998,@ahmednasirlaw,Mention
KirituCharles,@williamsruto,Mention
KirituCharles,@railaodinga,Mention
Paulrop15Paul,@williamsruto,Mention
Paulrop15Paul,@railaodinga,Mention
Mwass14933274,@williamsruto,Mention
Mwass14933274,@railaodinga,Mention
martinwaithaka8,@railaodinga,Mention
martinwaithaka8,@,Mention
lord_ofmischief,@railaodinga,Mention
vinskart,@williamsruto,Mention
vinskart,@railaodinga,Mention
cheroiginC,@railaodinga,Mention
abdizohabdallah,@williamsruto,Mention
abdizohabdallah,@,Mention
SimbaMmojatu,@nelsonhavi,Mention
Njau_,@williamsruto,Mention
Njau_,@railaodinga,Mention
RufusReal1,@williamsruto,Mention
RufusReal1,@railaodinga,Mention
wamahousee,@,Mention
kams_nation,@williamsruto,Mention
kams_nation,@railaodinga,Mention
NgeiywoMartin,@railaodinga,Mention
ki96269449,@,Mention
MwarariMr,@,Mention
Nai_WestFinest,@musaliamudavadi,Mention
Nai_WestFinest,@williamsruto,Mention
Nai_WestFinest,@sakajajohnson,Mention
Nai_WestFinest,@mwalimu_amunga,Mention
IKenmax,@railaodinga,Mention
RealHostar,@williamsruto,Mention
RealHostar,@railaodinga,Mention
ericmakorio,@williamsruto,Mention
ericmakorio,@railaodinga,Mention
JKchemunyan2012,@williamsruto,Mention
JKchemunyan2012,@railaodinga,Mention
NancyCheruiyot_,@williamsruto,Mention
NancyCheruiyot_,@railaodinga,Mention
lymmoe,@williamsruto,Mention
lymmoe,@railaodinga,Mention
kenchep,@williamsruto,Mention
kenchep,@,Mention
wamahousee,@railaodinga,Mention
oronijunior,@mwalimu_amunga,Mention
oronijunior,@sakajajohnson,Mention
stivin_holla,@williamsruto,Mention
stivin_holla,@railaodinga,Mention
Bernardmwanzia8,@,Mention
felixronohh,@,Mention
MOTARI25,@railaodinga,Mention
salom65556035,@,Mention
NgeiywoMartin,@,Mention
Anthonymulley,@williamsruto,Mention
Anthonymulley,@railaodinga,Mention
Pk53534395,@,Mention
mutumamurithi,@williamsruto,Mention
mutumamurithi,@railaodinga,Mention
NyandikoDickson,@williamsruto,Mention
NyandikoDickson,@railaodinga,Mention
NjuruPK,@williamsruto,Mention
NjuruPK,@railaodinga,Mention
MutethiaSilas,@williamsruto,Mention
MutethiaSilas,@railaodinga,Mention
ItsSossion,@williamsruto,Mention
ItsSossion,@railaodinga,Mention
NDUGIREC,@williamsruto,Mention
NDUGIREC,@railaodinga,Mention
caleb_gachugu,@,Mention
ErickkChirchir2,@railaodinga,Mention
tylerkym254,@,Mention
kanamboo2,@williamsruto,Mention
kanamboo2,@railaodinga,Mention
joe_clinch,@,Mention
musa_manza,@,Mention
ShiiWanjiru6,@williamsruto,Mention
ShiiWanjiru6,@railaodinga,Mention
peterph_gichuhi,@railaodinga,Mention
j_fatuj3,@williamsruto,Mention
j_fatuj3,@railaodinga,Mention
bravin_siwa,@,Mention
Emperorkoffici1,@williamsruto,Mention
Emperorkoffici1,@railaodinga,Mention
amanofafrika,@williamsruto,Mention
amanofafrika,@railaodinga,Mention
FredKiptanui,@williamsruto,Mention
FredKiptanui,@railaodinga,Mention
kentungaz,@williamsruto,Mention
kentungaz,@railaodinga,Mention
OOtenge,@williamsruto,Mention
OOtenge,@railaodinga,Mention
ondoro_erickson,@williamsruto,Mention
ondoro_erickson,@railaodinga,Mention
k_yovinne,@,Mention
WangalwaTony,@williamsruto,Mention
WangalwaTony,@railaodinga,Mention
Charlie_Popeye,@williamsruto,Mention
Charlie_Popeye,@railaodinga,Mention
Charlie_Popeye,@,Mention
kelvin_mwebia,@,Mention
_SirEric_,@,Mention
Its_Chemwotei,@williamsruto,Mention
Its_Chemwotei,@railaodinga,Mention
Jumabonny711,@,Mention
Kibet75Bett,@,Mention
Meninist254,@williamsruto,Mention
Meninist254,@railaodinga,Mention
benardongeri_,@railaodinga,Mention
BillowIsmail,@railaodinga,Mention
TonnyKamwai,@,Mention
BrianChemwaa,@williamsruto,Mention
BrianChemwaa,@railaodinga,Mention
Sir_Rawlings,@railaodinga,Mention
idibravine,@williamsruto,Mention
idibravine,@railaodinga,Mention
rodgers_ruttoh,@williamsruto,Mention
rodgers_ruttoh,@railaodinga,Mention
William_nganga1,@mwalimu_amunga,Mention
William_nganga1,@sakajajohnson,Mention
KariusRyano,@williamsruto,Mention
KariusRyano,@railaodinga,Mention
TeamSakaja,@mwalimu_amunga,Mention
TeamSakaja,@sakajajohnson,Mention
KiongoziGk,@,Mention
Real_Cheruiyot,@railaodinga,Mention
KIBETKOECH_,@williamsruto,Mention
KIBETKOECH_,@railaodinga,Mention
MwaurahDrax,@,Mention
BenardMosbei,@,Mention
KoomeMapesa,@williamsruto,Mention
KoomeMapesa,@railaodinga,Mention
HMosago,@,Mention
RaswilliEms69,@,Mention
HAlekhine,@williamsruto,Mention
HAlekhine,@railaodinga,Mention
David___Mbugua,@,Mention
Brianketer5,@mwalimu_amunga,Mention
Brianketer5,@sakajajohnson,Mention
wesrono,@railaodinga,Mention
kelvin_mwebia,@mwalimu_amunga,Mention
martomuge,@williamsruto,Mention
martomuge,@railaodinga,Mention
r_koskei,@williamsruto,Mention
r_koskei,@railaodinga,Mention
r_koskei,@,Mention
sammy_macharia,@,Mention
MastonKim1,@,Mention
IsoeKenty,@,Mention
Hon_ChaguaRuto,@,Mention
DaView_k,@,Mention
Kemboi85,@,Mention
Rotichk,@williamsruto,Mention
Rotichk,@railaodinga,Mention
Arapkemeikimuu,@oleitumbi,Mention
ratemo_perminus,@,Mention
Mikeindusa1,@,Mention
amohprovoke,@railaodinga,Mention
jensenojago,@,Mention
sangdengkip,@,Mention
daltoo_eye,@,Mention
KipyegoSanga,@,Mention
OleItumbi,@,Mention
KoilaiL,@williamsruto,Mention
KoilaiL,@railaodinga,Mention
Fadhilow,@williamsruto,Mention
Fadhilow,@railaodinga,Mention
EdukonDaniel,@williamsruto,Mention
BernardKRotich1,@williamsruto,Mention
BernardKRotich1,@railaodinga,Mention
SophisticatedDj,@williamsruto,Mention
SophisticatedDj,@railaodinga,Mention
waseges,@williamsruto,Mention
waseges,@railaodinga,Mention
tricore_digital,@williamsruto,Mention
tricore_digital,@railaodinga,Mention
Hon_ChaguaRuto,@railaodinga,Mention
nikjaki,@williamsruto,Mention
nikjaki,@railaodinga,Mention
TravisNgich,@railaodinga,Mention
dnkchelule,@williamsruto,Mention
dnkchelule,@railaodinga,Mention
john_ojunga9,@williamsruto,Mention
john_ojunga9,@railaodinga,Mention
WillingSon67,@williamsruto,Mention
WillingSon67,@railaodinga,Mention
AntonyMuhuma,@williamsruto,Mention
Mwathiken,@williamsruto,Mention
Mwathiken,@railaodinga,Mention
BenardMosbei,@williamsruto,Mention
BenardMosbei,@railaodinga,Mention
David___Mbugua,@railaodinga,Mention
Vinncott3,@railaodinga,Mention
GeorgeKipkurui,@williamsruto,Mention
GeorgeKipkurui,@railaodinga,Mention
Willieboy_m,@williamsruto,Mention
Willieboy_m,@railaodinga,Mention
Castroh_F,@williamsruto,Mention
Castroh_F,@railaodinga,Mention
elly_kiplaa,@williamsruto,Mention
elly_kiplaa,@railaodinga,Mention
KanjamG,@williamsruto,Mention
KanjamG,@railaodinga,Mention
UNCLECOMMANDO,@williamsruto,Mention
TonyKingv20,@railaodinga,Mention
theallan_t,@williamsruto,Mention
theallan_t,@railaodinga,Mention
EPLNewsSoccer,@railaodinga,Mention
QsKariuki,@williamsruto,Mention
QsKariuki,@railaodinga,Mention
miguelmuguchia,@williamsruto,Mention
NeddoTatayo,@railaodinga,Mention
miguelmuguchia,@railaodinga,Mention
KipchumbaChebw1,@williamsruto,Mention
KipchumbaChebw1,@railaodinga,Mention
ItsRopC,@williamsruto,Mention
ItsRopC,@railaodinga,Mention
Kibet75Bett,@williamsruto,Mention
purelovenation,@williamsruto,Mention
purelovenation,@railaodinga,Mention
itsmbugua,@williamsruto,Mention
itsmbugua,@railaodinga,Mention
UNCLECOMMANDO,@railaodinga,Mention
KagoModesto,@williamsruto,Mention
KagoModesto,@railaodinga,Mention
C_chengke,@railaodinga,Mention
olivernolly2,@williamsruto,Mention
olivernolly2,@railaodinga,Mention
MwaurahDrax,@railaodinga,Mention
MwendeCharles,@railaodinga,Mention
WilliamsRutoFan,@williamsruto,Mention
WilliamsRutoFan,@railaodinga,Mention
OtengoWelling1,@railaodinga,Mention
MlinziVinnie,@railaodinga,Mention
MuvitiSamuel,@williamsruto,Mention
MuvitiSamuel,@railaodinga,Mention
BCherich,@williamsruto,Mention
BCherich,@railaodinga,Mention
Chiskop_peetz,@railaodinga,Mention
KuluoJosephine,@williamsruto,Mention
KuluoJosephine,@railaodinga,Mention
KiprohRob,@williamsruto,Mention
KiprohRob,@railaodinga,Mention
Frank_KanaTech,@railaodinga,Mention
murunga1Murunga,@williamsruto,Mention
murunga1Murunga,@railaodinga,Mention
TrollPoliticsKe,@williamsruto,Mention
TrollPoliticsKe,@railaodinga,Mention
Pk53534395,@railaodinga,Mention
k_yovinne,@railaodinga,Mention
jkenyakwanza,@railaodinga,Mention
joshep1248,@williamsruto,Mention
joshep1248,@railaodinga,Mention
Therealguyx,@williamsruto,Mention
Therealguyx,@railaodinga,Mention
anto_whiz,@williamsruto,Mention
Clifford_Lans,@williamsruto,Mention
Clifford_Lans,@railaodinga,Mention
briankimani,@williamsruto,Mention
briankimani,@railaodinga,Mention
SirMycal,@williamsruto,Mention
SirMycal,@railaodinga,Mention
mp_philo,@williamsruto,Mention
MuchiriGichuri,@williamsruto,Mention
joe_clinch,@railaodinga,Mention
kelvin_mwebia,@railaodinga,Mention
isaiahmngl,@williamsruto,Mention
isaiahmngl,@railaodinga,Mention
alliontoyota,@williamsruto,Mention
alliontoyota,@railaodinga,Mention
Jumabonny711,@williamsruto,Mention
Jumabonny711,@railaodinga,Mention
jackmwaniki1,@williamsruto,Mention
jackmwaniki1,@railaodinga,Mention
IsaacKorir_kim,@williamsruto,Mention
IsaacKorir_kim,@railaodinga,Mention
kilaerick05,@williamsruto,Mention
kilaerick05,@railaodinga,Mention
MrBiwott,@railaodinga,Mention
chombir_ts,@williamsruto,Mention
chombir_ts,@railaodinga,Mention
Chrismutuma11,@williamsruto,Mention
Chrismutuma11,@railaodinga,Mention
vkmutai,@williamsruto,Mention
vkmutai,@railaodinga,Mention
mosebu,@railaodinga,Mention
iam_JVLEO,@williamsruto,Mention
iam_JVLEO,@railaodinga,Mention
MastonKim1,@railaodinga,Mention
awanyoike3,@railaodinga,Mention
itswaweruwamiti,@williamsruto,Mention
itswaweruwamiti,@railaodinga,Mention
KirwaNickson2,@williamsruto,Mention
KirwaNickson2,@railaodinga,Mention
OpyMoturi,@williamsruto,Mention
OpyMoturi,@railaodinga,Mention
Tonypaneah,@williamsruto,Mention
DjMicSultan,@williamsruto,Mention
DjMicSultan,@railaodinga,Mention
Felah88,@williamsruto,Mention
Felah88,@railaodinga,Mention
JrChelimo,@williamsruto,Mention
JrChelimo,@railaodinga,Mention
SiboyiAnganah,@williamsruto,Mention
SiboyiAnganah,@railaodinga,Mention
Joshua44538122,@williamsruto,Mention
Joshua44538122,@railaodinga,Mention
sammy_macharia,@railaodinga,Mention
GunnerAfrican,@railaodinga,Mention
TheBryo,@railaodinga,Mention
AraapChomu,@williamsruto,Mention
Omolloooo,@williamsruto,Mention
Omolloooo,@railaodinga,Mention
HARRYGENIUS_,@railaodinga,Mention
gibun_gitonga,@williamsruto,Mention
gibun_gitonga,@railaodinga,Mention
peter_warrior7,@williamsruto,Mention
peter_warrior7,@railaodinga,Mention
ombatikevin300,@williamsruto,Mention
ombatikevin300,@railaodinga,Mention
kimutaiken_,@railaodinga,Mention
Badcard4,@williamsruto,Mention
Badcard4,@railaodinga,Mention
KeynesSamai,@williamsruto,Mention
KeynesSamai,@railaodinga,Mention
Emmanue01300810,@williamsruto,Mention
Emmanue01300810,@railaodinga,Mention
keteralvin,@williamsruto,Mention
keteralvin,@railaodinga,Mention
Ericmwa,@railaodinga,Mention
OleItumbi,@railaodinga,Mention
benson_chumba,@williamsruto,Mention
joe_omosh,@williamsruto,Mention
gkaleli,@williamsruto,Mention
_gitonga__,@williamsruto,Mention
wisebethwel,@williamsruto,Mention
kaHuRa_kelviNe,@williamsruto,Mention
jakayajirjir,@williamsruto,Mention
Babakewillie,@williamsruto,Mention
kimunya_kelvin,@williamsruto,Mention
Tonipassiany,@musaliamudavadi,Mention
Tonipassiany,@sakajajohnson,Mention
MWALIMU_AMUNGA,@musaliamudavadi,Mention
MWALIMU_AMUNGA,@williamsruto,Mention
gabkeym25,@sheilasifuma,Mention
EWitness,@williamsruto,Mention
EWitness,@railaodinga,Mention
EWitness,@citizentvkenya,Mention
RutoSara,@railaodinga,Mention
RutoSara,@citizentvkenya,Mention
DaView_k,@nationafrica,Mention
DaView_k,@dci_kenya,Mention
Nai_WestFinest,@railaodinga,Mention
Nai_WestFinest,@citizentvkenya,Mention
Westlands2022,@williamsruto,Mention
Westlands2022,@railaodinga,Mention
