Id,Label,twitter_author_id,gender,city
100,Hon_ChaguaRuto,1563813548.0,prefer not to say,Nairobi
101,el_chaplinn,8.792563302462505e+17,prefer not to say,Nairobi
102,fessy_jay,1.041464369404506e+18,male,Nairobi
103,langatvic8,1.260622183879127e+18,prefer not to say,Nairobi
104,futurelegacy2,7.360968566068347e+17,prefer not to say,Nairobi
105,Chiskop_peetz,1709442834.0,prefer not to say,Nairobi
106,thuoevans,499832520.0,male,Nairobi
107,Kelvinmwendwa_,9.047800920012308e+17,prefer not to say,Nairobi
108,JKNjenga,256145719.0,male,Nairobi
109,Collins_Oxlade,385374019.0,prefer not to say,Nairobi
110,Patopatoh,468246932.0,prefer not to say,Nairobi
111,Edwardkertz,1.3856445124003635e+18,male,Nairobi
112,MweleWycliffe,267404703.0,prefer not to say,Mombasa
113,MurerwaEdwin,9.942772627899596e+17,prefer not to say,Meru
114,DongThuthi,342084869.0,prefer not to say,Nairobi
115,Kastone_Paul,2745170855.0,prefer not to say,Nairobi
116,JUNGLELAW12,1.3186358108376635e+18,prefer not to say,Nairobi
117,IKenmax,1.182780427255341e+18,prefer not to say,Nairobi
118,ratemo_perminus,1.4487484557662495e+18,prefer not to say,Nairobi
119,Real_Cheruiyot,1.4152719585482097e+18,prefer not to say,Nairobi
120,aj_njuguna,1.267438054660346e+18,prefer not to say,Nairobi
121,muhyy,202243410.0,prefer not to say,Nairobi
122,iamWekesa,1.1868639330822636e+18,prefer not to say,Nairobi
123,ErickMureka,1.4779078675461448e+18,male,Nairobi
124,john_andeka,1.478359370949931e+18,male,Nairobi
125,Theichief,1828892059.0,male,Nairobi
126,TheBryo,243769015.0,prefer not to say,Nairobi
127,Mwikiah,4145432705.0,prefer not to say,Meru
128,Ondieki_001,1.088458906177663e+18,male,Nakuru
129,KiruiMartin,8.170973458924872e+17,male,Nairobi
130,HusseinMohamedg,270831181.0,male,Nairobi
131,tylerkym254,9.805174982726042e+17,prefer not to say,Nairobi
132,kimutaiken_,3315158973.0,prefer not to say,Nairobi
133,Ronoh_1J,2436739682.0,male,Nairobi
134,wesrono,34962084.0,prefer not to say,Nairobi
135,Jay__Don_ke,1.50908143841049e+18,male,Nairobi
136,ErastoMwenyewe,1.0395529980605564e+18,prefer not to say,Nakuru
137,peterph_gichuhi,3020280357.0,male,Nairobi
138,TrueCityzen1,1.4533210428024013e+18,prefer not to say,Kakamega
139,HARRYGENIUS_,203825001.0,male,Nairobi
140,MashMMXIV,2682175866.0,male,Nairobi
141,Ericmwa,1969017410.0,prefer not to say,Nairobi
142,ruttohcarol,2958751840.0,female,Nakuru
143,lookeeymoha,3823888215.0,prefer not to say,Nairobi
144,Sammys2541,1.3267301588799365e+18,prefer not to say,Nakuru
145,MastonKim1,1.4751596833674117e+18,prefer not to say,Nairobi
146,DansonKimutai,7.721526310075105e+17,prefer not to say,Eldoret
147,EmmanuelKwemoi1,1.254856633424982e+18,prefer not to say,Eldoret
148,Sucresaid,218544686.0,prefer not to say,Nakuru
149,Karuoyya,341068525.0,prefer not to say,Nairobi
150,DouglasChiliswa,8.07313986484138e+17,prefer not to say,Nairobi
151,KELVINWAFULAMA1,1.330932338587562e+18,prefer not to say,Kisumu
152,Carlyet6,1.2674531997049037e+18,prefer not to say,Nairobi
153,rhouzieosore,2341999346.0,prefer not to say,Nairobi
154,kemboikips04,7.556458184226284e+17,male,Nairobi
155,tess_njoroge,3391686209.0,prefer not to say,Nairobi
156,Iyewitnes,9.286485016130272e+17,prefer not to say,Nairobi
157,hustlermilan,1.221911399468847e+18,male,Nairobi
158,amohprovoke,1.2193041090540544e+18,prefer not to say,Eldoret
159,AlexMugendi11,7.021452972255355e+17,male,Nairobi
160,CharlesKimuyu,549968240.0,male,Nairobi
161,EPLNewsSoccer,152181438.0,prefer not to say,Nairobi
162,kirweco14,1314383330.0,prefer not to say,Nairobi
163,Gichovi_e,243641368.0,male,Nairobi
164,Nyawira2005,1.3360020167961723e+18,prefer not to say,Naivasha
165,Musinga23169686,1.2131101930362184e+18,prefer not to say,Nairobi
166,LXG_News,1109672282.0,male,Meru
167,manucho__ke,1.2704116831697428e+18,prefer not to say,Nairobi
168,MikeMusungu1,1.0108412072353832e+18,male,Nairobi
169,comradefyat,1.0872496483587524e+18,prefer not to say,Nairobi
170,g_kimeli,1437995413.0,male,Nairobi
171,C_chengke,1.3514679133670892e+18,prefer not to say,Nairobi
172,FranklinKipyeg1,1.0207011914524712e+18,male,Nairobi
173,MwaurahDrax,1.1623520595569992e+18,male,Nairobi
174,ckositany,773949072.0,male,Nairobi
175,joe_clinch,8.35103019855405e+17,male,Nairobi
176,AKimorgo,1.1704027590001664e+18,male,Nairobi
177,DrRotichPHD,2319017782.0,prefer not to say,Nairobi
178,Elizabe40374232,1.2753552820513464e+18,female,Nairobi
179,sospetermkaimba,365592558.0,prefer not to say,Nairobi
180,NtongaiEzekiel,9.185597753062769e+17,prefer not to say,Nairobi
181,MlinziVinnie,1.0876208454539346e+18,male,Nairobi
182,TonyKingv20,1.4775930054188564e+18,male,Nairobi
183,FaithfulnessJSA,9.333035356424764e+17,male,Nairobi
184,mulinguum,399044866.0,prefer not to say,Nairobi
185,DesmondTowett,1.259500757612671e+18,prefer not to say,Nairobi
186,sammy_macharia,1670683963.0,prefer not to say,Nairobi
187,caleb_gachugu,9.133470022049014e+17,male,Nairobi
188,ObedMelly,1.2391638626011423e+18,prefer not to say,Eldoret
189,GunnerAfrican,460178620.0,prefer not to say,Nairobi
190,Mwash_phalic,4510747396.0,prefer not to say,Nairobi
191,Mr_JoeWaru,606524167.0,male,Nairobi
192,Mwax021,1.4299637926461194e+18,prefer not to say,Nairobi
193,mistah_morriz,7.438022910991442e+17,male,Nairobi
194,NdichuMburu,480378089.0,prefer not to say,Nairobi
195,JaphethArsenal,216809777.0,prefer not to say,Nairobi
196,Vinncott3,1.3783540936814797e+18,prefer not to say,Nairobi
197,k_yovinne,1.4221629423054438e+18,prefer not to say,Nairobi
198,mau_maxwel,1.5298255107121766e+18,prefer not to say,Nairobi
199,labattlabatt,1.1555402974447084e+18,prefer not to say,Eldoret
200,Pk53534395,1.5302166566178447e+18,prefer not to say,Kisumu
201,_jmcaleb,1.5057388674413773e+18,prefer not to say,Nairobi
202,PHIAMAX,469540013.0,prefer not to say,Nakuru
203,Dr_kimutal,2537234963.0,female,Eldoret
204,arapweriEzra,2610188270.0,prefer not to say,Nairobi
205,Paulmwaniki16,3490655134.0,prefer not to say,Nairobi
206,WairimuAntony,1490881328.0,prefer not to say,Nairobi
207,KipKalyaNoah,1.2769960069876613e+18,prefer not to say,Mombasa
208,tumeiyo_richard,9.249604906436896e+17,male,Nairobi
209,PatoskyKp,1.2023588212278436e+18,prefer not to say,Nairobi
210,ErickkChirchir2,1.4793702496319324e+18,male,Nairobi
211,wamahousee,2929252750.0,prefer not to say,Unknown
212,kenedyshy,2782477946.0,prefer not to say,Kericho
213,karryjay,218383839.0,male,Nairobi
214,Duncanm2017,1.5107914827347436e+18,male,Nairobi
215,GideonBadiva,1.4333774372959928e+18,male,Nairobi
216,bravin_siwa,3255314446.0,prefer not to say,Nairobi
217,benardongeri_,8.19177433127592e+17,prefer not to say,Nairobi
218,Kibet_AraapKogo,264764057.0,prefer not to say,Kitale
219,NgeiywoMartin,2267336859.0,prefer not to say,Nairobi
220,CeoBen,633145155.0,male,Nairobi
221,EricNgeno,14236874.0,prefer not to say,Nairobi
222,DenfelixK,3602768838.0,male,Machakos
223,EKipkeu,1101868129.0,prefer not to say,Nairobi
224,MeshMpendwa,9.32627702837805e+17,prefer not to say,Nairobi
225,flairampos,1.1358636777380168e+18,prefer not to say,Nairobi
226,ChamdanyKip,1.4130425786861568e+18,prefer not to say,Mombasa
227,manyongeisaac1,1.4881528726342615e+18,prefer not to say,Kisii
228,Jeffhendriksgit,9.616449897710223e+17,male,Nairobi
229,shaddykym,7.817515683496591e+17,prefer not to say,Nairobi
230,IMIrungu,83797492.0,male,Nairobi
231,sarahmurathime,123837178.0,female,Nairobi
232,Frank_KanaTech,1.1289528712093942e+18,male,Nairobi
233,Joe_munene1,1.0565746232219894e+18,prefer not to say,Meru
234,TevinMacharia,1.4450905911556588e+18,prefer not to say,Nairobi
235,mw_enda,1.0955916321524696e+18,male,Nairobi
236,Brianketer5,2405066607.0,prefer not to say,Nairobi
237,karonei,66973927.0,prefer not to say,Nairobi
238,MrBiwott,9.532790381387816e+17,prefer not to say,Nairobi
239,korirek,1.4532328404564787e+18,prefer not to say,Nairobi
240,JosephTulanga,1.2702871506475172e+18,prefer not to say,Nairobi
241,MOTARI25,1.506291998298362e+18,prefer not to say,Kisii
242,CyrusRintari,3009715384.0,male,Nairobi
243,GLitunya,3632986397.0,prefer not to say,Nairobi
244,JayReagans,1562780756.0,prefer not to say,Nairobi
245,KingKwemoi,9.78622852659282e+17,male,Nyeri
246,HalfLuo_,8.267539401255199e+17,prefer not to say,Nairobi
247,umosoo,609210938.0,prefer not to say,Nairobi
248,Waigwabon,1537065858.0,male,Nairobi
249,EliasKabere,8.63834392220885e+17,prefer not to say,Nairobi
250,Dequinto9,1.1547660153786696e+18,prefer not to say,Nairobi
251,BasilManaseh,3165816080.0,male,Nairobi
252,TwahirMwale,1.122877167057158e+18,prefer not to say,Nairobi
253,ondu_peter,8.013348931962757e+17,prefer not to say,Nairobi
254,KipngenoGabriel,1.2327194095606538e+18,prefer not to say,Nakuru
255,NeddoTatayo,9.960723962925466e+17,male,Nairobi
256,JumaFrred,1.404695980621058e+18,prefer not to say,Unknown
257,Beatric06754363,1.320024669676884e+18,female,Nairobi
258,awanyoike3,3300351310.0,prefer not to say,Nairobi
259,MwendeCharles,9.049502921139692e+17,prefer not to say,Nairobi
260,EvansChege,476094022.0,prefer not to say,Nairobi
261,AdanDuqow,2474666621.0,male,Nairobi
262,beth_kasinga,47953133.0,female,Nairobi
263,issa_grei,1.5239411966153236e+18,male,Mombasa
264,eric_opanda,9.738889841569874e+17,prefer not to say,Nairobi
265,daltoo_eye,1.1683810228048282e+18,female,Nairobi
266,Amb_Saleh,7.886658064439132e+17,prefer not to say,Nairobi
267,abedlelgo,90391467.0,male,Nairobi
268,McaMwongaJnr,1.4943740994387722e+18,prefer not to say,Nairobi
269,KariukiCyruz,2533359417.0,male,Nyeri
270,client13144,1.1186244515648512e+18,prefer not to say,Nairobi
271,OtungahB,1.4199918294628475e+18,prefer not to say,Kakamega
272,john_nderitu,185195661.0,male,Nairobi
273,Keerulanah,202149738.0,prefer not to say,Nairobi
274,KeMatumbei,3413089996.0,prefer not to say,Nakuru
275,TravisNgich,1.501498928306561e+18,male,Nairobi
276,schelanga94,4104937337.0,prefer not to say,Mombasa
277,Utred_Allan,3162366058.0,male,Nakuru
278,Lemenyi_KE,1.4185936581111562e+18,prefer not to say,Nairobi
279,UDAparty2022,7.962137962431816e+17,prefer not to say,Nairobi
280,manesah_,1.3548708671221514e+18,prefer not to say,Machakos
281,JohnWil50304360,1.110483536161792e+18,male,Nairobi
282,pkarnet,133430476.0,male,Nairobi
283,OtengoWelling1,3301475844.0,prefer not to say,Nairobi
284,wiz_freak,548237267.0,prefer not to say,Nairobi
285,OleItumbi,68382599.0,male,Nairobi
286,udakunews_kenya,1.5318232876170854e+18,prefer not to say,Nairobi
287,Kennedy_sankara,1.2066613769256878e+18,female,Kisumu
288,WNginyo,3036016889.0,male,Mombasa
289,josphatmutai43,606111244.0,prefer not to say,Kericho
290,DaddyMsoo,1.1286384658963252e+18,prefer not to say,Nairobi
291,PaulineNjau5,1.4823901944857108e+18,female,Nairobi
292,Ojwang44,8.742373307391222e+17,prefer not to say,Nairobi
293,edmosesking,471835406.0,prefer not to say,Nairobi
294,MakimiiDom,2225542174.0,prefer not to say,Nairobi
295,Kapengurian,1.2461046778985062e+18,male,Nairobi
296,Roho_Juu1,1427212014.0,male,Nairobi
297,KenyaMafias,1.235135682361856e+18,prefer not to say,Nairobi
298,muthaara,34365725.0,male,Nairobi
299,FelipeGambler_,1.2222758394941809e+18,prefer not to say,Nairobi
300,Japhetkmaina,9.10888591592698e+17,prefer not to say,Nakuru
301,gideonokumu81,1.381203332174336e+18,male,Kakamega
302,H_CharlesNyamai,1.0267041934642954e+18,male,Nairobi
303,SakajaJohnson,228580505.0,prefer not to say,Nairobi
304,SHINYALU_Online,1.1928949381088788e+18,male,Kakamega
305,RutoSara,1.2642807351643668e+18,female,Nairobi
306,WomenInANCParty,2952785068.0,prefer not to say,Nairobi
307,m_langat70,1647817903.0,prefer not to say,Nairobi
308,jacobskilonzo,9.142406762499808e+17,prefer not to say,Nairobi
309,Stephen32125824,1.3110401308708987e+18,male,Nairobi
310,AustohMwenyewe,635548922.0,male,Nairobi
311,Its_____Anne,1.4555211532425134e+18,female,Nairobi
312,Fredmoenga1998,1.3602963112501248e+18,male,Kisii
313,KirituCharles,3425327759.0,male,Nakuru
314,Paulrop15Paul,1.4510749372681462e+18,male,Nairobi
315,Mwass14933274,8.963117778683044e+17,prefer not to say,Nairobi
316,vinskart,1.4954014198679265e+18,prefer not to say,Nairobi
317,abdizohabdallah,9.505968215287932e+17,prefer not to say,Nairobi
318,SimbaMmojatu,2207518720.0,prefer not to say,Nairobi
319,Njau_,331736617.0,prefer not to say,Nairobi
320,RufusReal1,1897240915.0,male,Thika
321,kams_nation,4513741397.0,prefer not to say,Nairobi
322,ki96269449,1.4878043186528092e+18,male,Kilifi
323,MwarariMr,1.2297691491881247e+18,male,Nairobi
324,Nai_WestFinest,3677470348.0,prefer not to say,Nairobi
325,RealHostar,1.0865186793098158e+18,prefer not to say,Nairobi
326,ericmakorio,7.355035959913718e+17,male,Nairobi
327,JKchemunyan2012,2194145797.0,male,Nairobi
328,NancyCheruiyot_,1.3061708814383557e+18,female,Nairobi
329,lymmoe,395422054.0,prefer not to say,Nairobi
330,kenchep,40168697.0,male,Unknown
331,oronijunior,8.322055273628672e+17,prefer not to say,Mombasa
332,RonaldVerse,1.5156510637387817e+18,male,Nakuru
333,stivin_holla,9.376948104330976e+17,male,Nairobi
334,Bernardmwanzia8,1.2238927438162043e+18,male,Nairobi
335,felixronohh,2195601763.0,male,Nairobi
336,salom65556035,1.0101752693642568e+18,female,Nakuru
337,samo2beta,35800862.0,male,Nairobi
338,Anthonymulley,1.333319417976017e+18,male,Nairobi
339,mutumamurithi,1157050422.0,prefer not to say,Nairobi
340,NyandikoDickson,9.123256191570124e+17,prefer not to say,Nairobi
341,NjuruPK,416986001.0,prefer not to say,Nairobi
342,MutethiaSilas,1.46925626511736e+18,prefer not to say,Nairobi
343,ItsSossion,1190978384.0,male,Nairobi
344,NDUGIREC,476563121.0,prefer not to say,Nairobi
345,tylerkym254,9.805174982726042e+17,female,Nairobi
346,kanamboo2,1.376833278381015e+18,prefer not to say,Nairobi
347,musa_manza,719705020.0,male,Kakamega
348,ShiiWanjiru6,1.463734156463161e+18,prefer not to say,Nanyuki
349,j_fatuj3,1.4674239580981903e+18,prefer not to say,Nairobi
350,Emperorkoffici1,1.4544145628711895e+18,prefer not to say,Mombasa
351,amanofafrika,1.1876616393713746e+18,prefer not to say,Nairobi
352,FredKiptanui,564665735.0,male,Nairobi
353,kentungaz,9.362243400723908e+17,female,Nairobi
354,OOtenge,1.5130841942216663e+18,prefer not to say,Nairobi
355,ondoro_erickson,4600570889.0,prefer not to say,Nairobi
356,WangalwaTony,2528267698.0,male,Nairobi
357,kurezqibbz,466305692.0,prefer not to say,Nairobi
358,Charlie_Popeye,366300522.0,male,Nairobi
359,_SirEric_,1.4532328404564787e+18,prefer not to say,Nairobi
360,Its_Chemwotei,2719480965.0,male,Kitale
361,Jumabonny711,1.150123559731286e+18,prefer not to say,Nairobi
362,Kibet75Bett,1172339870.0,prefer not to say,Eldoret
363,Meninist254,1215439676.0,prefer not to say,Nairobi
364,TonnyKamwai,1.2123640970035118e+18,prefer not to say,Nairobi
365,BrianChemwaa,1.1883570655736504e+18,male,Unknown
366,idibravine,4855128472.0,prefer not to say,Mombasa
367,rodgers_ruttoh,527314875.0,prefer not to say,Nakuru
368,William_nganga1,9.551563334850684e+17,male,Nairobi
369,KariusRyano,1.259401796830847e+18,prefer not to say,Eldoret
370,TeamSakaja,7.100087056103588e+17,prefer not to say,Nairobi
371,KiongoziGk,1.4902740062383882e+18,prefer not to say,Eldoret
372,KIBETKOECH_,3321038232.0,prefer not to say,Nairobi
373,BenardMosbei,7.075730114660311e+17,prefer not to say,Nakuru
374,KoomeMapesa,1285722866.0,male,Unknown
375,HMosago,536076309.0,prefer not to say,Nairobi
376,HAlekhine,1.0165591013907496e+18,prefer not to say,Nairobi
377,kiruikipkoech19,1.2338185466411745e+18,prefer not to say,Nairobi
378,martomuge,924917498.0,prefer not to say,Nairobi
379,r_koskei,1.5235231192893522e+18,prefer not to say,Eldoret
380,Kemboi85,386387195.0,male,Kericho
381,Rotichk,43661074.0,prefer not to say,Nairobi
382,Arapkemeikimuu,1.5302401600796918e+18,male,Kericho
383,Mikeindusa1,1.2646496282989404e+18,prefer not to say,Nairobi
384,jensenojago,2437004887.0,prefer not to say,Nairobi
385,kib8elly,376162917.0,female,Nairobi
386,sangdengkip,2554635290.0,prefer not to say,Nairobi
387,KipyegoSanga,8.930787809437655e+17,prefer not to say,Eldoret
388,KoilaiL,8.384100580148019e+17,prefer not to say,Nairobi
389,phineas_andrews,1.4465593038764646e+18,male,Nanyuki
390,Fadhilow,1346303719.0,male,Nairobi
391,EdukonDaniel,9.994094070280888e+17,male,Nairobi
392,SophisticatedDj,202833828.0,prefer not to say,Nairobi
393,BernardKRotich1,1.3408835944961393e+18,male,Nairobi
394,waseges,1899680726.0,prefer not to say,Nairobi
395,tricore_digital,583667925.0,prefer not to say,Nakuru
396,WillingSon67,1.245751784104231e+18,prefer not to say,Eldoret
397,douglas_osano,2890517452.0,male,Nairobi
398,nikjaki,255098080.0,male,Nairobi
399,empirejumah,4083420779.0,prefer not to say,Nairobi
400,dnkchelule,472859663.0,male,Nairobi
401,john_ojunga9,1.5196792807117169e+18,male,Nairobi
402,AntonyMuhuma,988307100.0,male,Nairobi
403,Mwathiken,951478057.0,prefer not to say,Nairobi
404,FerbrizioRomano,1.077934822239146e+18,prefer not to say,Nairobi
405,GeorgeKipkurui,1.0901154026870456e+18,male,Mombasa
406,Willieboy_m,336994489.0,male,Nairobi
407,Castroh_F,3393558105.0,male,Nairobi
408,SirmeMtalii,2717086173.0,prefer not to say,Mombasa
409,elly_kiplaa,8.335510036769792e+17,male,Nairobi
410,KanjamG,2882803068.0,prefer not to say,Nairobi
411,UNCLECOMMANDO,1.2809390303776113e+18,prefer not to say,Nairobi
412,theallan_t,8.365576435022725e+17,male,Mombasa
413,miguelmuguchia,15915563.0,male,Nakuru
414,QsKariuki,2155644233.0,prefer not to say,Nairobi
415,KipchumbaChebw1,1.4880741944075428e+18,prefer not to say,Nairobi
416,ItsRopC,2413095144.0,prefer not to say,Nairobi
417,purelovenation,1.4404139930807378e+18,female,Nairobi
418,itsmbugua,2964287212.0,prefer not to say,Nairobi
419,KagoModesto,1.4930882199903068e+18,male,Mombasa
420,olivernolly2,3170166473.0,prefer not to say,Nairobi
421,WilliamsRutoFan,1.085444356054704e+18,male,Nairobi
422,MuvitiSamuel,1.0812613562911089e+18,male,Nairobi
423,BCherich,1.4873241428525834e+18,prefer not to say,Nairobi
424,KuluoJosephine,3398520663.0,female,Nairobi
425,KiprohRob,1.50113623584213e+18,prefer not to say,Unknown
426,murunga1Murunga,1.5076331069075087e+18,prefer not to say,Nairobi
427,TrollPoliticsKe,1.3709827173959844e+18,prefer not to say,Nairobi
428,joshep1248,8.072827465697239e+17,prefer not to say,Nairobi
429,Therealguyx,1.2184444619586273e+18,prefer not to say,Nakuru
430,anto_whiz,352958065.0,prefer not to say,Nairobi
431,Clifford_Lans,283499192.0,male,Nairobi
432,briankimani,97443396.0,male,Nairobi
433,SirMycal,9.023796529787944e+17,male,Mombasa
434,mp_philo,8.061684916613612e+17,prefer not to say,Nairobi
435,MuchiriGichuri,2197144079.0,prefer not to say,Nairobi
436,isaiahmngl,1.4287300922435912e+18,male,Nairobi
437,alliontoyota,99850898.0,male,Nairobi
438,jackmwaniki1,2331682156.0,prefer not to say,Nakuru
439,IsaacKorir_kim,7.846894203855217e+17,male,Eldoret
440,kilaerick05,1709642160.0,male,Kericho
441,chombir_ts,9.538467796483972e+17,prefer not to say,Nairobi
442,Chrismutuma11,8.48098918403539e+17,prefer not to say,Mombasa
443,vkmutai,464866496.0,prefer not to say,Mombasa
444,bworinaisa,2812509091.0,male,Nairobi
445,iam_JVLEO,1650677138.0,male,Nairobi
446,itswaweruwamiti,9.394659408566886e+17,prefer not to say,Meru
447,KirwaNickson2,1.4874796806346547e+18,prefer not to say,Nairobi
448,Felah88,92214434.0,male,Nairobi
449,OpyMoturi,8.970646240503644e+17,prefer not to say,Nairobi
450,Tonypaneah,1.1136632367825551e+18,prefer not to say,Nairobi
451,DjMicSultan,3430248934.0,prefer not to say,Nairobi
452,JrChelimo,1.437123596112081e+18,prefer not to say,Nairobi
453,SiboyiAnganah,465511753.0,prefer not to say,Nairobi
454,Joshua44538122,1.0358094038055567e+18,male,Nairobi
455,AraapChomu,2547292226.0,prefer not to say,Nairobi
456,Omolloooo,1.236160629607674e+18,prefer not to say,Nairobi
457,gibun_gitonga,1725853778.0,prefer not to say,Nairobi
458,peter_warrior7,1.2826788719267553e+18,male,Nairobi
459,ombatikevin300,1.4992560287010202e+18,prefer not to say,Eldoret
460,Badcard4,1.226955518129922e+18,prefer not to say,Nairobi
461,KeynesSamai,2196955977.0,male,Nairobi
462,Emmanue01300810,1.4537570153066906e+18,prefer not to say,Nairobi
